Date,Groups,Info,Location,Time,Type
11/3/2022,Administrative Civil Penalty (ACP) Hearings,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3412,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",10:00 AM,Hearing
11/8/2022,Library Board,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3415,"Feldheym Central Library   555 West 6th Street   San Bernardino, CA  92410",3:00 PM,Regular Meeting
11/3/2022,General Plan Advisory Committee,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3326,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",6:00 PM,Regular Meeting
11/2/2022,Mayor and City Council of the City of San Bernardino,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3250,"Feldheym Central Library   555 West 6th Street   San Bernardino, CA  92410",5:30 PM,Regular Meeting
10/31/2022,Arts and Historical Preservation Commission,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3413,"201 N. ""E"" Street   San Bernardino, CA  92401",4:00 PM,Special Meeting
11/2/2022,Personnel Commission,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3414,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",8:30 AM,Special Meeting
10/20/2022,General Plan Advisory Committee,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3325,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",6:00 PM,Regular Meeting
10/26/2022,Development Environmental Review Committee,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3398,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",10:00 AM,Regular Meeting
10/20/2022,"Parks, Recreation & Community Services Commission",http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3406,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",4:00 PM,Regular Meeting
10/19/2022,Mayor and City Council of the City of San Bernardino,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3249,"Feldheym Central Library   555 West 6th Street   San Bernardino, CA  92410",5:30 PM,Regular Meeting
10/17/2022,Arts and Historical Preservation Commission,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3409,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",4:00 PM,Regular Meeting
10/12/2022,Development Environmental Review Committee,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3397,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",10:00 AM,Regular Meeting
10/12/2022,Animal Control Commission,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3309,"201 N. ""E"" Street   San Bernardino, CA  92401",4:00 PM,Regular Meeting
10/11/2022,Library Board,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3404,"Feldheym Central Library   555 West 6th Street   San Bernardino, CA  92410",3:00 PM,Regular Meeting
10/11/2022,Planning Commission,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3371,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",6:00 PM,Regular Meeting
10/10/2022,Public Safety and Human Relations Commission,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3405,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",6:00 PM,Regular Meeting
