Date,Desc,Event,Location,Time
2023-01-05,,Feldheym Computer Class,"555 West 6th Street, San Bernardino, CA 92410",10:00 AM
2023-01-05,,Feldheym Story Time,"555 West 6th Street, San Bernardino, CA 92410",10:30 AM
2023-01-05,,Rowe Pre-K Story Time,"108 E. Marshall Blvd.San Bernardino, CA 92404",10:30 AM
2023-01-05,,Feldheym Homework Help,"555 W Sixth St, San Bernardino, CA 92410",3:00 PM
2023-01-05,,Rowe Homework Help,"108 E Marshall Blvd, San Bernardino, CA",3:00 PM
2023-01-05,,Villaseñor Family Story Time,"525 N. Mt. Vernon Ave.San Bernardino, CA 92411",4:00 PM
2023-01-07,,Inghram Pre-K Story Time,"1505 W. Highland Ave. San Bernardino, CA 92411",11:00 AM
2023-01-07,Come watch a family-friendly film at the library. ,Feldheym Movie,"555 W Sixth St, San Bernardino, CA 92410, United States",11:00 AM
2023-01-07,Enjoy a family-friendly movie at the library.,Villaseñor Movies at the Library,"525 N. Mt. Vernon Ave.San Bernardino, CA 92411",12:00 PM
2023-01-09,,Citizenship Class Feldheym,"555 W Sixth St, San Bernardino, CA 92410, United States",1:00 PM
2023-01-09,,Rowe Homework Help,"108 E Marshall Blvd, San Bernardino, CA",4:00 PM
2023-01-09,,Villaseñor Homework Help,"525 N. Mt. Vernon Ave.San Bernardino, CA 92411",4:00 PM
2023-01-09,,Villaseñor Bingo,"525 N. Mt. Vernon Ave.San Bernardino, CA 92411",6:00 PM
2023-01-10,,Feldheym Conversation Class,"555 West 6th Street, San Bernardino, CA 92410",2:30 PM
2023-01-10,,Inghram Homework Help,"1505 W Highland Ave, San Bernardino, CA 92411",4:00 PM
2023-01-10,,Rowe Homework Help,"108 E Marshall Blvd, San Bernardino, CA",4:00 PM
2023-01-10,,Villaseñor Homework Help,"525 N. Mt. Vernon Ave.San Bernardino, CA 92411",4:00 PM
2023-01-10,Create something cute every week with Ms. Kat. ,Feldheym Arts and Crafts,"555 West 6th Street, San Bernardino, CA 92410",5:00 PM
